Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
intercept,5.6,1.68,15,2,8,NA,3,1.41,24,1,5,1,4,2.08,26,1,7,NA,4.45,1.77,31,1,7,NA,4.69,1.28,32,2,7,NA
interfere,6.71,1.1,21,5,9,NA,3.23,1.45,22,1,5,NA,4.46,1.61,24,1,7,NA,4.63,1.79,30,2,7,NA,3.38,1.61,29,1,7,NA
interfering,5.87,1.36,23,3,8,NA,2.85,1.29,26,1,5,NA,3.68,1.82,25,1,7,NA,4.09,1.88,23,1,7,1,3.03,1.52,31,1,7,NA
interject,5.84,2.32,19,1,9,2,3,1.57,22,1,5,3,3.62,2.18,24,1,7,2,3.96,2.1,24,1,7,1,4.15,1.41,26,1,6,3
interlace,5.21,1.9,19,2,9,1,3.32,1.35,25,1,5,NA,4.43,1.87,28,1,7,2,4.88,1.75,24,1,7,2,5.54,1.36,26,1,9,4
interlock,5.46,1.27,13,3,8,2,3.48,1.04,23,2,5,2,4.23,2.02,22,1,7,4,4.79,1.97,29,1,7,2,5.6,1.13,30,3,8,2
intermarry,4.83,1.85,12,1,8,9,2.4,1.24,15,1,5,10,4,1.9,16,1,7,11,4.64,2.21,14,1,7,12,5.21,1.78,19,1,8,10
intermingle,6.24,1.56,17,4,9,1,3.56,1.04,25,1,5,3,5,1.78,23,1,7,2,5.52,1.78,27,1,7,2,6.21,1.5,28,4,9,2
intermix,4.88,1.2,16,1,6,3,2.05,1.28,20,1,5,7,2.21,1.79,24,1,7,4,4.3,1.72,23,1,7,4,5.08,0.65,24,3,7,6
intern,4.57,1.72,21,1,9,1,2.71,1.43,24,1,5,2,3.62,2.18,21,1,7,2,4.5,2.13,22,1,7,2,5.4,1.5,25,3,9,4
internalize,5.57,2.5,21,1,9,NA,1.42,0.81,26,1,4,1,3.56,2.03,27,1,7,1,2.38,1.75,26,1,7,1,4.26,1.7,27,2,7,1
interpenetrate,5.69,2.39,13,1,9,6,2.47,1.37,17,1,5,11,2.53,1.74,19,1,6,9,3.29,1.9,17,1,7,10,4.73,1.44,15,1,7,15
interpose,5.2,1.03,10,4,8,5,1.85,0.9,13,1,4,12,2.81,1.52,16,1,6,10,2.59,1.91,17,1,7,14,4.86,1.1,14,2,7,18
interpret,4.43,1.54,21,2,9,NA,2.03,1.18,29,1,5,NA,2.85,1.7,27,1,6,1,2.57,1.97,28,1,7,NA,5.56,1.54,32,1,9,1
interrogate,6.79,1.36,19,3,9,1,3.69,1.44,26,1,5,1,4.25,1.74,20,1,7,1,5.78,1.81,23,1,7,1,3.48,1.66,29,1,6,1
interrupt,5.68,1.25,19,3,7,NA,3.39,1.4,28,1,5,NA,4.48,1.87,25,1,7,NA,4.84,2.19,31,1,7,NA,2.79,1.32,33,1,6,NA
