Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
abase,4.7,1.06,10,2,6,11,2.62,0.92,8,1,4,17,3.44,1.42,9,2,6,18,2.56,1.13,9,1,4,16,3.5,1.51,14,1,5,15
abate,4.43,1.34,14,2,7,7,2,1,11,1,4,14,2.53,1.25,15,1,4,12,1.75,1.14,12,1,5,14,4.62,1.36,16,2,7,13
abbreviate,3.89,1.68,18,1,6,NA,2.24,1.33,25,1,4,NA,2,1.2,47,1,6,2,3.43,2.06,30,1,7,NA,5.33,1.08,33,2,7,1
abdicate,5.8,1.32,10,4,9,11,2,1.17,17,1,5,8,2.8,1.74,15,1,6,11,3.56,2.48,18,1,7,7,4.53,1.46,17,2,8,12
abduct,7.74,1.48,19,5,9,1,4.35,0.65,23,3,5,NA,5.15,1.83,26,1,7,1,6.16,1.31,25,2,7,NA,1.94,1.24,31,1,5,NA
abet,4.29,1.6,7,2,6,8,2.2,0.84,5,1,3,20,2.38,1.41,8,1,5,18,2.6,1.51,10,1,6,21,3.5,2,8,1,6,24
abhor,6.44,1.33,9,5,9,16,1.9,0.99,10,1,4,18,1.75,1.22,12,1,5,14,3,2.09,12,1,7,16,2.57,1.91,14,1,5,18
abide,3.8,1.4,20,1,6,1,2.48,1.22,27,1,5,2,3.23,1.75,26,1,7,2,3.03,1.68,31,1,7,1,5.4,1.45,30,3,9,2
abolish,7.19,1.12,21,5,9,NA,2.32,1.25,22,1,5,NA,2.5,1.56,24,1,6,NA,3.7,1.99,30,1,7,NA,3.34,1.78,29,1,7,NA
abominate,7.15,1.23,20,4,9,2,2.09,1.15,22,1,4,4,2.6,1.54,20,1,6,3,3,1.7,21,1,7,3,3,1.53,24,1,6,5
abort,6.4,1.6,20,3,9,1,3.26,1.18,23,1,5,NA,4.54,2.02,26,1,7,NA,4.27,2.11,26,1,7,NA,3.5,1.48,28,1,6,NA
abound,4.63,1.74,19,1,8,7,1.67,1.14,18,1,5,6,1.85,1.09,20,1,5,3,2.52,1.63,21,1,7,5,5.73,1.32,22,4,9,7
abounding,5.5,1.46,16,3,8,2,1.93,0.83,14,1,3,11,2.94,1.72,34,1,7,15,3.14,1.8,21,1,6,9,5.96,1.59,25,2,9,9
abridged,4.58,1.93,12,1,8,8,2.41,1.42,17,1,5,8,2.26,1.1,19,1,4,11,2.33,1.35,15,1,5,11,4.94,0.44,16,4,6,14
abrogate,5,0.89,6,4,6,17,2,0.87,9,1,3,17,2.5,1.05,6,1,4,19,2.86,1.68,7,1,6,17,4.4,0.84,10,3,6,21
abscond,6,1.73,5,5,9,16,2,1.55,6,1,5,19,3.5,2.02,12,1,7,14,3.11,2.15,9,1,7,16,3.27,1.68,11,1,5,18
absolve,4.81,1.91,16,1,9,4,2.14,1.24,21,1,5,4,2.78,1.83,27,1,7,3,2.43,1.33,21,1,5,5,6.22,1.54,23,4,9,7
absorb,4.11,2.4,19,1,9,NA,3.54,1.32,24,1,5,NA,3.48,1.83,21,1,7,NA,5.76,1.83,29,1,7,NA,5.52,0.99,29,4,8,NA
abstain,4.89,2.35,18,1,9,1,2.64,1.22,25,1,5,3,4.12,1.74,25,1,7,3,3.76,2.2,25,1,7,2,3.96,1.77,25,1,8,5
abuse,7.28,1.72,25,3,9,NA,4.07,0.94,28,2,5,NA,5.73,1.28,26,3,7,NA,6.18,1.22,28,3,7,NA,1,0,32,1,1,NA
abut,5.17,0.41,6,5,6,19,3,2,5,1,5,23,3.71,1.98,7,1,6,19,2.67,1.86,6,1,6,22,5.11,0.33,9,5,6,23
accede,5.44,1.01,9,4,7,10,1.82,0.75,11,1,3,12,2.67,1.76,15,1,7,12,2.3,1.25,10,1,5,15,5.83,1.47,12,4,9,19
accelerate,7.8,1.08,15,6,9,NA,3.92,1.08,25,2,5,NA,3.62,2.1,26,1,7,NA,5.35,1.85,31,1,7,NA,6.47,1.22,32,3,9,NA
accelerated,6.89,1.91,18,1,9,NA,3.27,1.28,26,1,5,NA,4,1.93,23,1,7,NA,5.36,1.63,25,1,7,NA,6.15,1.23,27,4,9,NA
accentuate,5.55,1.64,20,3,9,5,2.41,1.05,22,1,5,6,3.24,1.76,21,1,7,5,3.15,1.95,26,1,7,2,6.11,1.1,28,5,9,4
accept,4.35,2.23,20,1,9,NA,2.6,1.41,25,1,5,NA,3.3,1.9,30,1,7,NA,3.62,1.72,26,1,7,NA,7.37,1.45,30,5,9,NA
acclimate,4.24,1.84,21,1,7,3,2.33,1.27,24,1,5,5,3.57,1.95,23,1,7,4,2.64,1.79,22,1,6,6,5.79,1.28,24,3,9,6
accommodate,4.1,2.1,21,1,9,NA,2.52,1.19,25,1,5,NA,2.96,1.84,26,1,6,NA,3.6,1.83,25,1,7,NA,6.86,1.51,28,3,9,1
accompany,3.82,2.19,17,1,8,NA,3.46,1.25,24,1,5,NA,4.6,2.08,25,1,7,NA,5.11,1.97,28,1,7,NA,6.72,1.28,29,5,9,NA
accomplish,7.63,1.61,19,3,9,NA,2,1.12,25,1,4,NA,3.43,2.13,23,1,7,NA,3.57,1.77,28,1,6,NA,8.44,0.85,27,6,9,NA
accost,6,2.74,9,1,9,7,2.71,1.77,14,1,5,11,3.33,2.06,15,1,7,9,3.94,2.32,16,1,7,7,4.13,1.46,15,1,6,13
accosted,6.29,1.38,7,5,8,8,2.88,1.36,8,1,5,17,3.4,1.96,10,1,7,16,3.36,2.06,14,1,7,17,4.75,1.06,12,3,7,20
accredited,5.39,1.72,18,2,9,NA,2.04,0.98,23,1,4,2,2.13,1.28,46,1,6,3,3.03,1.92,30,1,7,NA,5.61,2.01,33,1,9,1
accrue,5.38,1.3,8,4,8,7,2.38,0.92,8,1,4,17,2.88,2.23,8,1,7,18,3,1.9,11,1,7,20,4.64,1.78,14,2,8,18
accumulate,6,1.94,18,1,9,NA,3.29,1.56,28,1,5,NA,3.48,2.02,25,1,7,NA,5.24,1.99,29,1,7,NA,5.97,1.63,30,1,9,NA
accuse,7.14,1.24,21,4,9,NA,2.48,1.08,23,1,4,NA,3.5,1.96,26,1,7,NA,4,2.17,26,1,7,NA,2.18,1.19,28,1,5,NA
accustom,3.35,1.6,20,1,5,NA,1.62,0.97,24,1,4,1,2.29,1.63,24,1,6,NA,1.52,0.79,23,1,4,2,5.93,1.44,29,3,9,NA
achieve,6.68,2.21,19,1,9,NA,2.22,1.09,23,1,4,NA,3.63,1.86,27,1,7,NA,4.08,1.8,25,1,7,NA,8.4,0.72,30,7,9,NA
acknowledge,4.17,2.31,18,1,8,NA,2.19,1.23,26,1,5,NA,3.74,1.91,23,1,7,NA,3.56,1.98,25,1,7,NA,6.96,1.4,27,5,9,NA
acquaint,4.43,1.43,21,2,8,NA,2.14,0.94,22,1,4,NA,3.43,1.83,23,1,7,1,2.87,1.63,30,1,6,NA,6.21,1.37,29,3,9,NA
acquiesce,4,1.58,9,1,5,15,1.94,1.18,16,1,5,13,2.94,1.88,16,1,7,11,2.47,1.3,15,1,5,13,5.06,1.57,16,2,9,14
acquire,5.33,2.58,21,1,9,NA,2.6,1.29,25,1,5,NA,3.15,2.01,26,1,7,NA,4.32,1.75,25,1,7,NA,6.97,1.45,29,5,9,NA
acquired,5.38,2.53,16,1,9,NA,3.28,1.28,25,1,5,NA,3.5,1.56,24,1,7,NA,3.57,1.93,23,1,7,NA,6.5,1.45,28,4,9,NA
acquit,5.57,1.6,14,2,8,5,2,1.03,18,1,4,6,2.69,1.7,13,1,5,8,3.09,2.02,23,1,7,6,5.58,1.26,19,4,9,10
activate,6.53,1.42,17,5,9,1,3.04,1.31,26,1,5,NA,3.71,1.98,21,1,7,NA,4.4,1.71,25,1,7,NA,6.43,1.48,30,5,9,NA
adapt,4.55,1.73,20,1,8,NA,2.74,1.43,27,1,5,NA,4.67,0.91,21,3,6,NA,2.83,1.63,24,1,7,NA,6.73,1.41,30,4,9,NA
added,4.68,2.06,19,1,9,NA,2.88,1.45,25,1,5,NA,2.7,1.74,23,1,6,NA,3.96,2.01,28,1,7,NA,5.96,1.26,27,5,9,NA
addle,5.5,0.84,6,4,6,12,2.29,1.38,7,1,5,18,3.07,1.54,14,1,6,35,1.92,1.26,13,1,5,17,4.18,1.66,11,1,6,23
adduce,4.57,2.44,7,1,9,14,2.3,1.25,10,1,4,19,2.22,1.2,9,1,5,19,2.38,1.69,8,1,5,20,4.79,0.89,14,3,7,19
adhere,4.11,1.57,18,1,7,1,2.78,1.51,23,1,5,NA,2.56,1.53,27,1,6,NA,3.8,2.02,25,1,7,NA,5,1.13,29,1,8,1
adjoining,4.62,1.07,21,1,6,5,3.15,1.46,20,1,5,4,3.45,1.61,20,1,7,3,3.92,1.78,25,1,7,1,5.27,1.25,26,2,9,3
adjourn,4.92,0.86,13,3,7,7,2.12,1.09,16,1,5,7,2.55,1.32,20,1,5,7,3,2.13,16,1,7,9,5.05,1.12,21,2,8,10
adjudge,4.85,0.8,13,3,6,8,2.23,1.36,13,1,5,12,2.8,1.21,15,1,5,12,3,1.28,12,1,5,14,4.79,1.89,14,1,7,15
adjudicate,5.75,1.39,8,4,8,5,2.18,1.47,17,1,5,9,2.16,1.3,19,1,5,4,3.29,1.79,17,1,7,11,5.19,1.22,16,3,9,8
adjure,4.5,1.27,10,2,6,11,2.38,1.12,13,1,4,16,3,1.94,10,1,7,18,2.08,1.55,13,1,6,15,4.71,1.05,17,1,6,16
adjust,4.33,1.28,21,2,6,NA,3.35,1.15,23,1,5,NA,3.96,2.16,26,1,7,NA,3.88,1.86,25,1,7,NA,5.32,1.49,28,1,9,NA
administer,4.89,2.13,19,1,9,NA,3.26,1.4,27,1,5,NA,3.62,1.97,24,1,7,NA,4.4,2,25,1,7,NA,4.9,1.77,30,2,9,NA
admire,6.52,2.14,25,1,9,NA,2.57,1.26,28,1,5,NA,4.54,2.06,26,1,7,NA,5.14,1.99,28,1,7,NA,8.06,1.11,32,6,9,NA
admit,5.5,2.06,20,2,9,NA,3.22,1.37,27,1,5,NA,3.48,2.04,21,1,7,NA,3.42,1.89,24,1,7,NA,5.53,1.61,30,1,9,NA
admonish,6.77,1.09,13,5,9,6,2,0.88,14,1,3,9,3.19,1.91,16,1,7,11,2.67,1.4,15,1,6,10,4,1.15,16,2,6,15
adopt,5.33,2.06,15,1,8,NA,3.2,1.41,25,1,5,NA,3.44,1.85,25,1,7,NA,4.74,1.88,31,1,7,NA,6.78,1.56,32,3,9,NA
adopted,5.5,1.69,18,2,9,NA,3.12,1.24,25,1,5,NA,4.1,2.17,49,1,7,NA,4.93,1.72,30,1,7,NA,5.41,2.05,34,1,9,NA
adore,5.94,2.65,18,1,9,NA,2.5,1.36,26,1,5,NA,3.9,1.58,21,1,7,NA,4.56,1.94,25,1,7,NA,8.33,0.8,30,6,9,NA
adorn,6.05,1.87,19,3,9,2,3.25,1.19,24,1,5,5,3.32,1.7,22,1,7,6,4.22,1.95,27,1,7,5,7.38,1.1,24,5,9,8
adulterate,5.94,2.24,16,1,9,7,2.55,1.15,20,1,5,6,3.56,1.58,18,1,6,7,4.25,1.84,16,1,7,8,2.64,1.4,22,1,5,9
advertise,5.18,1.84,22,2,9,NA,3.46,1.07,26,1,5,NA,2.35,1.27,23,1,6,NA,5.46,2,24,1,7,NA,4.97,1.35,29,1,7,NA
advise,3.83,2.01,18,1,7,NA,2.69,1.41,26,1,5,NA,3.91,1.59,23,2,7,NA,4.33,1.55,24,1,7,NA,6.11,1.28,27,4,9,NA
advised,4.12,1.71,16,1,7,NA,2.76,1.42,25,1,5,NA,NA,NA,NA,NA,NA,NA,2.93,1.8,28,1,7,NA,5.52,1.15,29,2,8,NA
advocate,5.48,1.89,21,2,9,NA,2.95,1.25,22,1,5,NA,3.42,1.91,24,1,7,NA,3.5,1.8,30,1,7,NA,6.93,1.31,29,5,9,NA
aerate,4.53,1.84,19,1,9,5,3.5,1.26,22,1,5,7,3.48,2.14,21,1,7,6,3.67,2.01,21,1,7,7,5.22,1.41,23,2,9,7
affect,4.94,1.92,18,1,8,NA,2.07,1.18,28,1,5,NA,3.48,2,25,1,7,NA,2.9,2.18,29,1,7,NA,4.73,1.2,30,2,9,NA
affected,6.1,1.86,20,3,9,NA,1.88,0.99,24,1,4,NA,3.28,1.99,25,1,7,NA,2.54,1.84,28,1,7,NA,4.17,1.66,30,1,8,NA
affiliate,5.11,1.97,19,1,9,NA,2.14,1.18,28,1,5,NA,2.86,1.82,28,1,7,NA,2.44,1.65,27,1,6,NA,5.73,1.23,30,3,9,NA
affirm,3.67,1.62,21,1,7,NA,2,1.2,22,1,5,NA,2.61,1.56,23,1,6,NA,3.3,1.58,30,1,7,NA,7,1.41,29,4,9,NA
afflict,6.05,1.39,20,4,9,3,2.29,1.2,24,1,4,2,3.96,1.95,26,1,7,2,3.23,1.82,22,1,7,4,3.76,1.81,25,1,9,3
afford,5.8,2.38,20,1,9,NA,2.16,1.28,25,1,5,NA,2.47,1.61,30,1,6,NA,3.58,1.6,26,1,7,NA,7.5,1.61,30,4,9,NA
aggrandize,4.8,2.17,5,1,6,14,2.3,1.34,10,1,5,18,2.33,1.41,9,1,5,18,2,1.41,11,1,4,16,5,0.87,9,3,6,21
aggravate,7.68,1.25,19,6,9,NA,2.57,1.2,23,1,5,NA,3.89,1.55,27,1,6,NA,4.48,1.73,25,2,7,NA,2.27,1.17,30,1,5,NA
aggravated,7.17,2.07,18,1,9,NA,3.96,1.08,26,1,5,2,5.08,1.95,24,1,7,1,6.07,1.67,29,1,7,NA,1.9,1.26,29,1,5,1
agitate,7.38,1.24,21,5,9,NA,3.31,1.14,29,1,5,NA,4.93,1.54,28,2,7,NA,5.19,1.75,32,1,7,NA,2.47,1.32,32,1,5,NA
agitated,7.27,1.44,15,4,9,NA,3.48,1.42,25,1,5,NA,5.04,1.87,26,1,7,NA,4.97,1.85,31,1,7,NA,2,1.19,32,1,5,NA
agonize,7.5,1.88,20,1,9,NA,2.92,1.35,25,1,5,NA,4.46,1.69,24,1,7,NA,5.2,1.71,25,2,7,NA,1.52,0.91,29,1,5,NA
agree,5.17,2.42,23,1,9,NA,3,1.58,25,1,5,1,4.21,2.27,28,1,7,NA,4.46,1.88,26,1,7,NA,7.93,1.21,28,5,9,NA
agreeing,4.83,2.33,18,1,9,NA,3.04,1.37,25,1,5,NA,3.94,1.95,49,1,7,NA,4.43,1.85,30,1,7,NA,7.21,1.47,34,3,9,NA
ail,6,2.16,13,1,9,8,3,1.07,15,1,5,10,3.89,1.75,18,1,7,9,3.06,2.21,16,1,7,10,3.61,2.2,18,1,8,11
ailing,5.53,1.9,19,3,9,3,3,1.34,20,1,5,6,4.47,1.87,17,1,7,6,4.15,1.79,20,1,7,4,2.24,1.76,21,1,7,8
alienate,5.68,1.57,19,2,8,NA,2.26,1.32,27,1,5,NA,3.26,1.89,23,1,7,1,4.17,2.12,24,1,7,1,1.8,1.27,30,1,5,NA
align,3.24,1.7,21,1,6,NA,2.9,1.32,29,1,5,NA,3.25,1.96,28,1,7,NA,4.46,1.9,28,1,7,NA,6.61,1.52,33,5,9,NA
allay,3.8,2.39,5,1,7,16,1.8,0.84,5,1,3,18,2.25,1.49,8,1,5,18,2,1.5,9,1,4,17,6.86,2.04,7,5,9,21
allege,5.58,1.16,12,4,8,7,1.95,1.18,19,1,5,4,2.62,1.56,24,1,6,3,2.25,1.16,20,1,5,5,4.56,0.96,25,2,6,5
alleviate,2.8,1.61,20,1,7,NA,2.09,0.95,23,1,4,NA,3.3,1.73,27,1,7,NA,3.2,1.73,25,1,7,NA,7.06,1.61,31,3,9,NA
allocate,4.07,1.44,15,1,5,1,2.29,1.38,21,1,5,4,2.24,1.7,21,1,7,3,2.74,1.56,19,1,7,4,5.38,0.97,24,4,9,4
allot,4.47,1.94,17,1,9,6,2.06,1.06,18,1,4,8,2.22,1.59,18,1,7,10,2.2,1.58,20,1,6,6,5.21,1.27,19,3,9,9
alter,5.5,1.47,20,3,8,NA,3,0.98,26,1,5,NA,3.58,1.7,26,1,7,NA,4.4,1.63,25,1,7,NA,5,1,27,3,7,NA
alternate,4.95,0.83,20,3,6,NA,2.89,1.19,27,1,5,NA,2.29,1.62,21,1,6,NA,4.3,2.01,23,1,7,1,5.23,1.19,30,2,9,NA
alternating,4.95,1.51,19,3,9,NA,3.5,1.25,24,1,5,NA,3,1.84,20,1,7,NA,4.83,1.83,29,1,7,NA,5.41,1.09,29,4,9,NA
am,4.42,1.93,12,1,8,1,1.72,1.28,25,1,5,1,3.8,2.48,20,1,7,3,2.22,1.93,27,1,7,1,5.35,1.03,23,4,9,1
amass,4.94,1.39,17,1,7,9,2.2,1.26,15,1,5,9,2.94,1.71,17,1,6,6,3.11,1.94,18,1,7,8,4.78,1.11,18,3,7,11
amaze,7.15,2.06,20,2,9,NA,2.56,1.36,25,1,5,NA,4.12,2.09,24,1,7,NA,4.56,1.94,25,1,7,NA,8.48,0.78,29,7,9,NA
amazed,6.75,2.59,20,1,9,NA,2.43,1.31,23,1,5,NA,4.52,1.95,27,1,7,NA,5.24,1.94,25,1,7,NA,8.42,0.89,31,6,9,NA
ameliorate,4,2.19,6,1,7,11,2.3,1.25,10,1,5,15,NA,NA,NA,NA,NA,NA,2.9,1.97,10,1,7,18,5.8,2.2,10,2,9,19
amend,3.79,2.04,19,1,8,NA,2.43,1.2,28,1,5,NA,2.64,1.68,28,1,7,NA,3.81,1.92,27,1,7,NA,6.97,1.02,29,5,9,1
amortize,5.44,1.67,9,3,9,11,2,1.22,9,1,4,16,2.28,1.78,18,1,6,12,2.55,1.29,11,1,5,15,4.58,1.31,12,2,6,18
amplify,6.77,1.6,22,4,9,NA,3.15,1.35,26,1,5,NA,2.13,1.14,23,1,4,NA,4.21,1.77,24,2,7,NA,6.1,1.26,29,4,9,NA
amputate,7.52,1.6,21,5,9,NA,4.78,0.42,23,4,5,NA,6.62,0.7,26,5,7,NA,6.44,1.08,25,3,7,NA,2,1.31,28,1,5,NA
amuse,7.62,1.5,13,4,9,NA,3.15,1.62,26,1,5,NA,4.7,1.96,23,1,7,NA,5.07,2.11,28,1,7,NA,8.12,1.03,24,5,9,NA
anaesthetize,4.31,2.21,13,1,9,4,3.85,1.46,20,1,5,4,4.65,2.11,20,1,7,5,4.55,1.95,22,1,7,6,4.52,1.92,25,1,9,4
analyses,4.04,1.73,26,1,7,NA,2.08,1.53,24,1,5,NA,2.65,1.58,23,1,6,NA,2.92,1.49,26,1,6,NA,5.45,1.35,29,3,9,NA
analyze,4.1,2.1,20,1,7,NA,2.64,1.32,25,1,5,NA,3,1.74,26,1,6,NA,4.2,1.91,25,1,7,NA,5.07,1.03,29,3,7,NA
anchored,3,1.65,20,1,5,1,2.92,1.44,24,1,5,1,2.72,1.81,25,1,7,1,5.25,1.59,24,3,7,1,5.62,1.72,29,3,9,NA
annihilate,7.8,1.88,20,1,9,1,3.43,1.16,21,1,5,2,3.59,2.26,22,1,7,4,4.96,2.25,23,1,7,3,2.72,1.88,25,1,7,3
annotate,5,1.33,18,2,7,2,2.78,1.2,23,1,5,3,3.13,1.87,23,1,7,3,3.96,2.18,23,1,7,2,5.2,1.22,25,2,8,2
annoy,6.65,1.18,20,5,9,NA,2.82,1.42,28,1,5,NA,4.04,2.1,24,1,7,NA,5.37,1.64,27,1,7,NA,2.48,1.12,27,1,5,NA
annul,5.27,2.02,15,1,9,6,2.59,1.5,17,1,5,8,2.21,1.75,19,1,6,7,3.53,2.21,17,1,7,8,3.58,1.77,19,1,7,10
anoint,4.17,2.09,18,1,9,2,3.18,1.22,22,1,5,4,4.35,1.97,23,1,7,3,4.95,1.76,20,1,7,5,6.24,1.26,21,4,9,6
antagonize,6.74,1.41,19,5,9,NA,2.3,1.1,27,1,4,1,2.87,1.77,23,1,7,2,3.32,1.87,31,1,6,NA,2.77,1.63,31,1,5,2
anticipate,6.7,1.94,23,1,9,NA,2.04,1.18,26,1,5,NA,3.68,1.86,25,1,7,NA,3.42,2.06,24,1,7,NA,5.87,1.52,31,3,9,NA
apologize,4.81,1.78,21,1,8,NA,3.88,1.27,25,1,5,NA,4.74,2.07,27,1,7,NA,5.35,1.7,26,1,7,NA,5.41,2.29,29,1,9,NA
appear,4.71,1.79,17,1,9,NA,3.79,0.93,24,2,5,NA,4.44,1.8,25,1,7,NA,5.04,1.82,28,1,7,NA,5.72,1.41,29,4,9,NA
appease,3.8,1.61,20,1,6,1,1.71,0.78,21,1,4,1,2.71,1.4,24,1,5,NA,2.59,1.43,29,1,7,1,5.59,1.66,29,2,9,NA
applaud,7.05,1.99,19,1,9,NA,4.85,0.36,27,4,5,NA,6.58,0.93,24,3,7,NA,6.92,0.28,25,6,7,NA,8.1,1.16,30,4,9,NA
apply,4.83,2.09,18,1,9,NA,3.26,1.43,27,1,5,NA,4.92,1.91,24,1,7,NA,3.59,1.94,22,1,6,NA,5.75,1.11,28,4,9,NA
appoint,4.68,1.2,19,2,6,NA,2.64,1.39,28,1,5,NA,2.64,1.6,25,1,7,NA,3.03,1.87,31,1,7,NA,5.15,1.18,33,1,7,NA
appraise,5,2.25,18,1,9,NA,2.57,1.1,28,1,5,NA,3.38,1.76,24,1,7,1,3.86,2.19,28,1,7,1,7.07,1.83,29,3,9,1
appraising,6.6,1.79,20,4,9,1,2.31,1.29,26,1,5,1,3.64,1.98,25,1,7,3,3.46,1.9,26,1,6,1,6.19,1.57,27,3,9,1
appreciate,4.21,2.51,19,1,9,NA,2.46,1.45,28,1,5,NA,3.82,2.06,28,1,7,NA,3.56,1.97,27,1,7,NA,8.3,1.15,30,5,9,NA
apprehend,5.82,1.79,22,1,8,1,2.83,1.47,23,1,5,3,4.25,1.94,28,1,7,NA,4.16,2.23,25,1,7,1,4.44,1.83,27,1,9,1
apprise,4.36,1.86,14,1,7,7,2.4,1.5,15,1,5,7,2.27,1.49,15,1,5,9,2.61,1.46,18,1,6,12,5.89,1.57,18,3,9,11
approaching,6.1,1.77,20,3,9,NA,3.64,0.99,28,1,5,NA,4.71,1.81,24,1,7,NA,5.04,1.53,27,2,7,NA,5.44,1.05,27,4,9,NA
approve,5.05,2.54,20,1,9,NA,2.32,1.25,28,1,5,NA,2.83,2.08,24,1,7,NA,3.44,1.93,27,1,7,NA,7.7,1.1,27,5,9,NA
arbitrate,5.47,1.19,15,3,7,5,2.28,1.13,18,1,4,8,2.75,1.68,20,1,6,6,2.58,1.77,19,1,7,6,4.95,1.27,19,1,7,8
are,3.67,1.85,18,1,5,1,1.54,1.1,24,1,5,1,2.05,1.86,21,1,7,1,1.78,1.48,27,1,7,1,5.35,0.69,26,5,7,1
argue,7.5,1.1,20,6,9,NA,3.71,1.15,28,1,5,NA,5.17,1.71,24,1,7,NA,6.15,0.95,27,4,7,NA,2.67,1.41,27,1,7,NA
arise,5.78,2.39,18,1,9,NA,3.61,1.1,28,1,5,NA,4.33,1.71,24,2,7,NA,5.46,1.48,28,2,7,1,6.93,1.46,30,4,9,NA
arisen,5.9,1.58,21,2,9,1,2.92,1.22,25,1,5,1,4.29,1.55,21,1,7,2,4.91,1.93,23,1,7,1,6.65,1.29,26,5,9,3
arose,6.23,2.17,13,3,9,NA,3.23,1.45,26,1,5,NA,5.48,1.38,23,3,7,NA,5.5,1.71,28,1,7,NA,6.58,1.59,24,4,9,NA
arouse,7.74,1.41,19,4,9,1,3.46,1.14,26,1,5,1,5.95,1.1,20,3,7,1,4.83,1.53,23,2,7,1,7,1.95,30,1,9,NA
arraign,5.5,0.93,8,4,7,11,1.45,0.69,11,1,3,14,2.55,1.81,11,1,5,12,2.12,1.26,16,1,5,12,4.9,0.57,10,4,6,16
arrange,4.04,1.73,24,1,7,NA,3.93,0.92,29,1,5,NA,3.26,1.93,27,1,7,NA,5.18,1.52,28,2,7,NA,6.23,1.59,30,2,9,NA
arrive,5.45,1.64,20,3,9,NA,4.19,0.83,27,3,5,NA,4.19,1.86,21,1,7,NA,5.12,1.51,24,2,7,NA,6.63,1.52,30,5,9,NA
ascend,6.47,1.85,15,2,9,1,2.92,1.19,25,1,5,NA,3.42,2.12,24,1,7,NA,4.74,1.94,23,1,7,NA,6.37,1.31,27,5,9,1
ascending,5.67,2.45,18,1,9,NA,3.38,1.27,26,1,5,NA,4,2.09,23,1,7,NA,5.04,1.86,25,1,7,NA,6.04,1.65,27,3,9,NA
ascertain,4.27,1.1,15,2,5,4,1.87,0.74,15,1,3,8,2.83,1.86,18,1,7,9,1.93,1.53,15,1,5,10,5.61,1.73,23,1,9,8
ascribe,4.92,0.29,12,4,5,7,2.06,0.75,17,1,3,6,2.62,1.41,16,1,5,11,2.83,1.95,12,1,7,12,5.14,0.71,22,4,7,9
asphyxiate,6.62,2.36,13,1,9,5,3.78,1.56,18,1,5,8,6.27,1.49,15,2,7,8,5,2.32,17,1,7,8,2.56,1.65,18,1,6,9
aspirate,5.12,2,17,1,8,9,3.22,1.66,18,1,5,6,4.94,2.14,17,1,7,6,4.53,1.88,15,2,7,11,5.45,2.19,20,2,9,9
aspire,6.24,2.17,17,1,9,NA,1.96,1.06,25,1,4,NA,3.08,1.74,49,1,7,NA,3.27,2.03,30,1,7,NA,7.67,1.55,33,3,9,NA
assail,6.08,2.1,13,1,9,7,2.12,1.17,17,1,4,11,3.53,2.03,15,1,7,9,2.83,1.82,18,1,7,9,3.5,1.34,18,1,5,9
assassinate,8.29,1.19,21,6,9,NA,4.55,0.63,29,3,5,NA,5.89,1.5,28,1,7,NA,6.53,1.19,32,1,7,NA,1.81,1.28,32,1,5,NA
assemble,5.25,1.78,24,2,9,NA,4,0.9,28,2,5,1,4.11,2.19,27,1,7,NA,5.21,1.57,28,2,7,NA,6.1,1.21,30,4,9,NA
assert,6.21,2.55,19,1,9,NA,2.61,1.23,28,1,5,NA,3.5,1.71,28,1,6,NA,3.81,2.04,27,1,7,NA,5.1,2.02,29,1,9,1
assess,4.75,1.48,24,1,8,NA,2.72,1.19,29,1,5,NA,3.23,1.7,26,1,7,1,3.61,1.75,28,1,7,NA,5.57,1.17,30,3,9,NA
assessed,4.8,2.04,25,1,9,NA,2.21,0.99,28,1,4,NA,2.81,1.52,26,1,6,NA,3.25,2.03,28,1,7,NA,4.88,1.54,32,2,8,NA
assign,4.8,1.78,15,1,7,NA,2.56,1.19,25,1,5,NA,3,1.81,26,1,7,NA,3.61,1.91,31,1,7,NA,4.38,1.24,32,1,8,NA
assigned,4.84,2.01,19,1,9,NA,2.79,1.06,24,1,5,NA,2.75,1.59,20,1,7,NA,3.52,1.94,29,1,7,NA,4.93,1.39,29,3,9,NA
assimilate,5.41,1.23,17,4,9,1,2.21,1.18,24,1,5,1,3.42,1.76,48,1,7,1,4.3,1.78,30,1,7,NA,3.09,1.75,32,1,7,1
assist,5,2.5,17,1,9,NA,3.58,1.21,24,1,5,NA,4.84,1.4,25,2,7,NA,4.61,1.89,28,1,7,NA,6.86,1.55,29,4,9,NA
associate,4.47,1.07,17,2,6,NA,2.28,1.24,25,1,5,NA,NA,NA,NA,NA,NA,NA,2.43,1.62,28,1,6,NA,5.1,0.67,29,3,7,NA
assuage,5.6,1.14,5,4,7,10,3,0,2,3,3,23,2.83,2.4,6,1,7,20,2,1.07,8,1,4,23,4.75,1.16,8,3,7,24
